endereco_geo,lat,lon
"Rua Alonso Calhamares, Jardim Anália Franco, São Paulo, SP, Brasil",-23.5537957,-46.5667792
"Rua Deputado João Sussumu Hirata, Vila Andrade, São Paulo, SP, Brasil",-23.6262573,-46.7338453
"Rua Eunice Weaver, Jardim Anália Franco, São Paulo, SP, Brasil",-23.5567009,-46.5671879
"Rua Doutor Chibata Miyakoshi, Paraíso do Morumbi, São Paulo, SP, Brasil",,
"Vila Pamplona, Jardim Paulista, São Paulo, SP, Brasil",,
"Rua Itapeti, Vila Gomes Cardim, São Paulo, SP, Brasil",-23.5508737,-46.5656236
"Alameda Ribeirão Preto, Bela Vista, São Paulo, SP, Brasil",-23.5642726,-46.6490589
"Rua Fernão Dias, Pinheiros, São Paulo, SP, Brasil",-23.5641542,-46.6957447
"Rua Arizona, Cidade Monções, São Paulo, SP, Brasil",,
"Rua Porto Alegre, Vila Bertioga, São Paulo, SP, Brasil",-22.3694687,-46.9345599
"Rua Moliére, Vila Sofia, São Paulo, SP, Brasil",,
"Rua Vicente Pinheiro, Jardim Helga, São Paulo, SP, Brasil",,
"Rua Augusta, Cerqueira César, São Paulo, SP, Brasil",-23.5621755,-46.6644553
"Rua Vieira de Morais, Campo Belo, São Paulo, SP, Brasil",-23.6209672,-46.6732414
"Avenida Hélio Pellegrino, Vila Nova Conceição, São Paulo, SP, Brasil",,
"Rua Senador César Lacerda Vergueiro, Sumarezinho, São Paulo, SP, Brasil",-23.5499489,-46.6919016
"Rua Afonso de Freitas, Paraíso, São Paulo, SP, Brasil",-23.574489,-46.6426263
"Rua Joaquim Ferreira, Água Branca, São Paulo, SP, Brasil",,
"Rua Tucumã, Jardim Europa, São Paulo, SP, Brasil",-23.581476,-46.6890324
"Rua João Ramalho, Perdizes, São Paulo, SP, Brasil",-23.5341012,-46.6757204
"Rua Emílio Mallet, Vila Gomes Cardim, São Paulo, SP, Brasil",-23.547162,-46.568601
"Avenida Indianópolis, Indianópolis, São Paulo, SP, Brasil",-23.6047128,-46.6539193
"Rua Gonçalo Afonso, Jardim das Bandeiras, São Paulo, SP, Brasil",,
"Rua Simão Álvares, Pinheiros, São Paulo, SP, Brasil",-23.5624833,-46.6896797
"Rua Árabe, Vila Clementino, São Paulo, SP, Brasil",,
"Rua Duarte de Carvalho, Tatuapé, São Paulo, SP, Brasil",-23.5345521,-46.5718853
"Rua Engenheiro Mesquita Sampaio, Vila São Francisco (Zona Sul), São Paulo, SP, Brasil",,
"Rua Rosa das Neves, Vila Regente Feijó, São Paulo, SP, Brasil",,
"Rua Antônio Comparato, Campo Belo, São Paulo, SP, Brasil",-23.6144,-46.6693583
"Rua Boa Esperança, Chácara Santo Antônio (Zona Leste), São Paulo, SP, Brasil",,
"Rua Delfina, Vila Madalena, São Paulo, SP, Brasil",-23.5538175,-46.6943248
"Rua Helena, Vila Olímpia, São Paulo, SP, Brasil",-23.5931321,-46.6859992
"Rua Henrique Fausto Lancellotti, Nova Piraju, São Paulo, SP, Brasil",,
"Rua Cardeal Arcoverde, Pinheiros, São Paulo, SP, Brasil",-23.5596543,-46.6850549
"Rua Afonso Braz, Vila Nova Conceição, São Paulo, SP, Brasil",,
"Rua dos Estudantes, Sé, São Paulo, SP, Brasil",-23.55534,-46.6313261
"Rua Doutor Virgílio de Carvalho Pinto, Pinheiros, São Paulo, SP, Brasil",-23.5637011,-46.6833831
"Rua João de Lacerda Soares, Jardim das Acácias, São Paulo, SP, Brasil",,
"Rua Vergueiro, Vila Mariana, São Paulo, SP, Brasil",-23.5831494,-46.6371603
"Rua Paschoal Pellini, Jardim Prudência, São Paulo, SP, Brasil",,
"Rua Mateus Grou, Pinheiros, São Paulo, SP, Brasil",-23.5641602,-46.6844031
"Rua Senador Milton Campos, Santo Amaro, São Paulo, SP, Brasil",-23.6290481,-46.6909062
"Rua Loefgren, Vila Clementino, São Paulo, SP, Brasil",-23.5996462,-46.6397745
"Avenida das Carinás, Indianópolis, São Paulo, SP, Brasil",,
"Rua Iara, Itaim Bibi, São Paulo, SP, Brasil",-23.5852455,-46.6736971
"Rua Califórnia, Cidade Monções, São Paulo, SP, Brasil",,
"Rua Galeno de Almeida, Pinheiros, São Paulo, SP, Brasil",-23.5536109,-46.6791142
"Rua Gerivatiba, Butantã, São Paulo, SP, Brasil",-23.5717843,-46.7025769
"Rua Almirante Noronha, Jardim São Paulo(Zona Norte), São Paulo, SP, Brasil",,
"Rua Estuário, Chácara Monte Alegre, São Paulo, SP, Brasil",-23.6509043,-46.6804521
"Rua Anatólia, Boaçava, São Paulo, SP, Brasil",-23.5391727,-46.7263088
"Avenida Marcondes de Brito, Chácara Seis de Outubro, São Paulo, SP, Brasil",,
"Rua João Cachoeira, Vila Nova Conceição, São Paulo, SP, Brasil",,
"Rua José Batista Pereira, Campo Belo, São Paulo, SP, Brasil",-23.6194032,-46.6812036
"Rua Campos Vergueiro, Vila Anastácio, São Paulo, SP, Brasil",-23.511877,-46.7162549
"Rua Correia de Lemos, Chácara Inglesa, São Paulo, SP, Brasil",-23.6079079,-46.6324519
