endereco_geo,lat,lon
"Rodovia BR-376, Colônia Dona Luíza, Ponta Grossa, PR, Brasil",,
"Rua Luiz Nadal Motti, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0781085,-50.145019
"Rua Paulo Furtado Velasco, Centro, Ponta Grossa, PR, Brasil",,
"Travessa Catarina Stremel Mayer, Colônia Dona Luíza, Ponta Grossa, PR, Brasil",,
"Rua Mauro Zimermann, Uvaranas, Ponta Grossa, PR, Brasil",-25.0934954,-50.1177489
"Rua José Koteski, Cará-cará, Ponta Grossa, PR, Brasil",-25.113059,-50.1022644
"Rua Euzébio Batista Rosas, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0733264,-50.1540802
"Praça Roosevelt, Centro, Ponta Grossa, PR, Brasil",,
"Rua José Miara, Orfãs, Ponta Grossa, PR, Brasil",-25.0686009,-50.1575927
"Rua Francisco Manoel da Silva, Uvaranas, Ponta Grossa, PR, Brasil",-25.0865031,-50.1418898
"Rua Professor Heitor Ditzel, Estrela, Ponta Grossa, PR, Brasil",,
"Rua Antonil, Uvaranas, Ponta Grossa, PR, Brasil",-25.1029772,-50.0974601
"Rua Doutor Antônio Schwansee, Estrela, Ponta Grossa, PR, Brasil",-25.1127478,-50.1704264
"Rua Caetano Vendrami, Cará-cará, Ponta Grossa, PR, Brasil",-25.1462297,-50.1478568
"Rua Dario Veloso, Uvaranas, Ponta Grossa, PR, Brasil",-25.0997428,-50.1437814
"Rua José do Patrocínio, Oficinas, Ponta Grossa, PR, Brasil",-25.1093793,-50.1626997
"Avenida Ana Rita, Uvaranas, Ponta Grossa, PR, Brasil",-25.103064,-50.1422637
"Rua Alberto de Oliveira, Nova Rússia, Ponta Grossa, PR, Brasil",-25.0800051,-50.1804402
"Rua Ricardo Wagner, Olarias, Ponta Grossa, PR, Brasil",-25.105538,-50.152683
"Rua Constantino Marochi, Boa Vista, Ponta Grossa, PR, Brasil",-25.0804463,-50.1916787
"Rua Coronel Solano, Centro, Ponta Grossa, PR, Brasil",-25.0888264,-50.1690788
"Rua Xavier de Souza, Uvaranas, Ponta Grossa, PR, Brasil",-25.0884527,-50.12305
"Rua General Ramon, Colônia Dona Luíza, Ponta Grossa, PR, Brasil",-25.1215347,-50.1685244
"Avenida Visconde de Mauá, Oficinas, Ponta Grossa, PR, Brasil",-25.1184987,-50.154854
"Rua Brasil, Oficinas, Ponta Grossa, PR, Brasil",-25.1253373,-50.1531973
"Rua Conselheiro João Alfredo, Orfãs, Ponta Grossa, PR, Brasil",-25.0832994,-50.1665275
"Rua João Kubinski, Boa Vista, Ponta Grossa, PR, Brasil",-25.0581011,-50.1675823
"Avenida Doutor Vicente Machado, Centro, Ponta Grossa, PR, Brasil",-25.0943688,-50.1552268
"Rua João Ribeiro, Uvaranas, Ponta Grossa, PR, Brasil",-25.0923723,-50.1288357
"Rua Felipe Justus, Boa Vista, Ponta Grossa, PR, Brasil",-25.0790994,-50.1903166
"Avenida DAF, Jardim Carvalho, Ponta Grossa, PR, Brasil",,
"Rua República do Peru, Ronda, Ponta Grossa, PR, Brasil",-25.0992165,-50.1752771
"Rua Visconde do Rio Branco, Oficinas, Ponta Grossa, PR, Brasil",-25.1236295,-50.1520878
"Rua Octaviano Macedo Ribas, Boa Vista, Ponta Grossa, PR, Brasil",-25.0811146,-50.1872794
"Rua João Maurício Faivre, Estrela, Ponta Grossa, PR, Brasil",-25.1105819,-50.1741652
"Avenida dos Vereadores, Oficinas, Ponta Grossa, PR, Brasil",-25.1089621,-50.1556475
"Rua Rocha Carvalhães, Orfãs, Ponta Grossa, PR, Brasil",-25.0852334,-50.1684305
"Rua Tiradentes, Centro, Ponta Grossa, PR, Brasil",-25.0902053,-50.1596716
"Rua Quinze de Novembro, Centro, Ponta Grossa, PR, Brasil",-25.0964296,-50.1591232
"Rua Miguel Dropa, Cará-cará, Ponta Grossa, PR, Brasil",-25.1057088,-50.1099738
"Rua Laerte Bittencourt, Cará-cará, Ponta Grossa, PR, Brasil",,
"Rua Zacarias de Goes e Vasconcelos, Uvaranas, Ponta Grossa, PR, Brasil",-25.0848627,-50.147913
"Rua Altamir Starke, Contorno, Ponta Grossa, PR, Brasil",-25.1022055,-50.2037454
"Rua Nicolau Kluppel Neto, Contorno, Ponta Grossa, PR, Brasil",-25.0956629,-50.2000118
"Avenida Eurico Gaspar Dutra, Chapada, Ponta Grossa, PR, Brasil",-25.0604077,-50.225159
"Rodovia BR-373, Chapada, Ponta Grossa, PR, Brasil",-24.9351979,-50.9221393
"Rua Afonso Celso, Neves, Ponta Grossa, PR, Brasil",-25.074537,-50.1285814
"Rua Lauro Marcondes Ferreira, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0793363,-50.1537544
"Rua Doutor Laudelino Gonçalves, Chapada, Ponta Grossa, PR, Brasil",-25.0833065,-50.2032886
"Rua Plinio Vivan, Cará-cará, Ponta Grossa, PR, Brasil",-25.1224123,-50.1259008
"Rua Souza Caldas, Uvaranas, Ponta Grossa, PR, Brasil",-25.0950095,-50.1280631
