preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta,vagas_garagem,bairro,tipo_imovel,preco_m2,endereco_geo,lat,lon,nivel_geocoding
199000.0,Rua Praia da Urca,"Casa para comprar com 80 m², 3 quartos, 1 banheiro, 2 vagas emContorno, Ponta Grossa",3.0,1.0,80.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-contorno-ponta-grossa-80m2-id-2559401641/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,2.0,Contorno,Casa,2487.5,"Rua Praia da Urca, Contorno, Ponta Grossa, PR, Brasil",-25.0960208,-50.2129318,rua_bairro
180000.0,Avenida General Aldo Bonde,"Casa para comprar com 63 m², 3 quartos, 1 banheiro, 2 vagas emContorno, Ponta Grossa",3.0,1.0,63.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-contorno-ponta-grossa-63m2-id-2559401411/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,2.0,Contorno,Casa,2857.1428571428573,"Avenida General Aldo Bonde, Contorno, Ponta Grossa, PR, Brasil",-25.1167737,-50.2010068,rua_bairro
125000.0,Rua Freud,"Apartamento para comprar com 60 m², 3 quartos, 1 banheiro, 1 vaga emColônia Dona Luíza, Ponta Grossa",3.0,1.0,60.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-colonia-dona-luiza-ponta-grossa-60m2-id-2574282935/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,1.0,Colônia Dona Luíza,Apartamento,2083.3333333333335,"Rua Freud, Colônia Dona Luíza, Ponta Grossa, PR, Brasil",-25.1363322,-50.1569363,rua_bairro
480000.0,Rua Arnaldo José de Moraes,"Casa para comprar com 94 m², 3 quartos, 2 banheiros, 2 vagas emCará-cará, Ponta Grossa",3.0,2.0,94.0,https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-cara-cara-ponta-grossa-94m2-id-2825744921/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,2.0,Cará-cará,Casa,5106.382978723404,"Rua Arnaldo José de Moraes, Cará-cará, Ponta Grossa, PR, Brasil",-25.1286314,-50.1246861,rua_bairro
190000.0,Rua Ângelo Madalozzo,"Apartamento para comprar com 50 m², 1 quarto, 1 banheiro, 1 vaga emJardim Carvalho, Ponta Grossa",1.0,1.0,50.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-playground-jardim-carvalho-ponta-grossa-50m2-id-2828259815/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 10:28:04,1.0,Jardim Carvalho,Apartamento,3800.0,"Rua Ângelo Madalozzo, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0771506,-50.1469084,rua_bairro
260000.0,Avenida Siqueira Campos,"Apartamento para comprar com 60 m², 2 quartos, 1 banheiro, 1 vaga emUvaranas, Ponta Grossa",2.0,1.0,60.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-uvaranas-ponta-grossa-60m2-id-2812821829/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:29:30,1.0,Uvaranas,Apartamento,4333.333333333333,"Avenida Siqueira Campos, Uvaranas, Ponta Grossa, PR, Brasil",-25.1549716,-50.1232601,rua_bairro
240000.0,,"Apartamento para comprar com 97 m², 2 quartos, 1 banheiro, 1 vaga emCentro, Ponta Grossa",2.0,1.0,97.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-centro-ponta-grossa-97m2-id-2797388248/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:29:30,1.0,Centro,Apartamento,2474.226804123711,,34.220389,70.3800314,bairro
380000.0,Rua Dom Pedro I,"Lote/Terreno para comprar com 150 m² emOficinas, Ponta Grossa",,,150.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-comercial-oficinas-ponta-grossa-150m2-id-2865094871/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:29:30,,Oficinas,Lote/Terreno,2533.3333333333335,"Rua Dom Pedro I, Oficinas, Ponta Grossa, PR, Brasil",-25.1246544,-50.1543078,rua_bairro
280000.0,Rua Frederico Justus Sobrinho,"Lote/Terreno para comprar com 462 m² emJardim Carvalho, Ponta Grossa",,,462.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-462m2-id-2846819042/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:29:30,,Jardim Carvalho,Lote/Terreno,606.060606060606,"Rua Frederico Justus Sobrinho, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.057954,-50.1358838,rua_bairro
290907.0,Avenida Monteiro Lobato,"Lote/Terreno para comprar com 236 m² emJardim Carvalho, Ponta Grossa",,,236.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-236m2-id-2825646061/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:29:30,,Jardim Carvalho,Lote/Terreno,1232.656779661017,"Avenida Monteiro Lobato, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0770177,-50.154814,rua_bairro
230000.0,Rua Paraíba,"Apartamento para comprar com 54 m², 2 quartos, 1 banheiro, 1 vaga emOlarias, Ponta Grossa",2.0,1.0,54.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-sala-de-jantar-olarias-ponta-grossa-54m2-id-2766989517/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:29:30,1.0,Olarias,Apartamento,4259.259259259259,"Rua Paraíba, Olarias, Ponta Grossa, PR, Brasil",-25.1012007,-50.1532294,rua_bairro
157213.0,Rua Rosemari Silva Belotto,"Lote/Terreno para comprar com 185 m² emNeves, Ponta Grossa",,,185.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-neves-ponta-grossa-185m2-id-2774911218/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:29:30,,Neves,Lote/Terreno,849.8,"Rua Rosemari Silva Belotto, Neves, Ponta Grossa, PR, Brasil",-25.0723764,-50.1260839,rua_bairro
216898.0,Avenida Monteiro Lobato,"Lote/Terreno para comprar com 200 m² emJardim Carvalho, Ponta Grossa",,,200.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-200m2-id-2825647167/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:29:30,,Jardim Carvalho,Lote/Terreno,1084.49,"Avenida Monteiro Lobato, Jardim Carvalho, Ponta Grossa, PR, Brasil",-25.0770177,-50.154814,rua_bairro
1350000.0,Rua Professor Heitor Ditzel,"Casa para comprar com 472 m², 5 quartos, 4 banheiros emEstrela, Ponta Grossa",5.0,4.0,472.0,https://www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-cozinha-estrela-ponta-grossa-472m2-id-2825448238/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:29:30,,Estrela,Casa,2860.169491525424,"Estrela, Ponta Grossa, PR, Brasil",,,falhou
306267.0,,"Lote/Terreno para comprar com 330 m² emJardim Carvalho, Ponta Grossa",,,330.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-330m2-id-2810886215/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:29:30,,Jardim Carvalho,Lote/Terreno,928.0818181818182,,34.220389,70.3800314,bairro
180000.0,Rua José de Oliveira Franco,"Lote/Terreno para comprar com 394 m² emChapada, Ponta Grossa",,,394.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-chapada-ponta-grossa-394m2-id-2864960764/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:29:30,,Chapada,Lote/Terreno,456.8527918781726,"Rua José de Oliveira Franco, Chapada, Ponta Grossa, PR, Brasil",-25.086279,-50.2075729,rua_bairro
268000.0,Rua Nicolau Kluppel Neto,"Apartamento para comprar com 58 m², 2 quartos, 2 banheiros, 1 vaga emContorno, Ponta Grossa",2.0,2.0,58.0,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-contorno-ponta-grossa-58m2-id-2861557108/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:29:30,1.0,Contorno,Apartamento,4620.689655172414,"Rua Nicolau Kluppel Neto, Contorno, Ponta Grossa, PR, Brasil",-25.0956629,-50.2000118,rua_bairro
155000.0,Rua Leopoldo Miques,"Lote/Terreno para comprar com 462 m² emEstrela, Ponta Grossa",,,462.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-energia-eletrica-estrela-ponta-grossa-462m2-id-2559401476/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:29:30,,Estrela,Lote/Terreno,335.4978354978355,"Rua Leopoldo Miques, Estrela, Ponta Grossa, PR, Brasil",-25.1052101,-50.1686711,rua_bairro
184811.0,Rua Eduardo Burgardt,"Lote/Terreno para comprar com 200 m² emContorno, Ponta Grossa",,,200.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-contorno-ponta-grossa-200m2-id-2825647904/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:29:30,,Contorno,Lote/Terreno,924.055,"Rua Eduardo Burgardt, Contorno, Ponta Grossa, PR, Brasil",-25.1368348,-50.2068034,rua_bairro
