geometry,name,public_transport,railway,ref,station,subway,old_name,operator,wikidata,wikimedia_commons,wikipedia,start_date,website,wheelchair,network,operator:short,train,network:short,network:wikidata,name:ja,name:pt,toilets:wheelchair,addr:city,addr:street,addr:suburb,operator:wikidata,internet_access,gtfs_id,construction,name:etymology:wikidata,short_name,alt_name,bicycle,addr:housenumber,addr:postcode,official_name,monorail,fixme,platforms,source:alt_name,building,planned,addr:country,bench,layer,lit,opening_hours,shelter,source,surface,toilets,wheelchair:description,height,addr:state,contact:facebook,contact:flickr,contact:instagram,contact:phone,contact:twitter,contact:website,contact:youtube,min_height,wheelchair:description:pt,check_date,construction:railway,opening_date,type,highway,waterway,access,entrance,description,is_in,level,departures_board,elevator
POINT (-46.6688454 -23.5388435),Estação PUC-Cardoso de Almeida,,construction,,subway,yes,,,Q30929852,Category:PUC-Cardoso de Almeida (São Paulo Metro),pt:Estação PUC–Cardoso de Almeida,,,,,,,,,,,,,,,,,,station,,PUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.661272 -23.5466468),Estação FAAP-Pacaembu,,construction,,subway,yes,,,Q30926626,Category:FAAP-Pacaembu (São Paulo Metro),pt:Estação FAAP–Pacaembu,,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6544918 -23.550543),Estação Higienópolis-Mackenzie (Linha 6),,construction,,subway,yes,,,Q8779002,Category:Higienópolis-Mackenzie (São Paulo Metro),pt:Estação Higienópolis–Mackenzie,,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6491389 -23.5570172),Estação 14 Bis,,construction,,subway,yes,,,Q30929992,Category:14 Bis (São Paulo Metro),pt:Estação 14 Bis–Saracura,,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6448677 -23.5618044),Estação Bela Vista,,construction,,subway,yes,,,Q30939051,Category:Bela Vista (São Paulo Metro),pt:Estação Bela Vista (Metrô de São Paulo),,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6392286 -23.5627134),São Joaquim,,construction,JQM,subway,yes,,,Q7665498,Category:São Joaquim (São Paulo Metro),pt:Estação São Joaquim,,,,,,,,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6386084 -23.5615965),São Joaquim,station,station,JQM,subway,yes,,Metropolitano de São Paulo,Q7665498,Category:São Joaquim (São Paulo Metro),pt:Estação São Joaquim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7589484 -23.6492871),Campo Limpo,station,station,CPL,subway,yes,,ViaMobilidade Linhas 5 e 17,Q5028448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7235089 -23.6399232),João Dias,station,station,,,,,ViaMobilidade Linhas 8 e 9,Q109476499,,,2021-08-10,,yes,,,yes,,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4690648 -23.5992137),Jardim Colonial,station,station,IGT,,,Iguatemi,Metropolitano de São Paulo,Q65173157,Category:Jardim Colonial (São Paulo Metro),pt:Estação Jardim Colonial,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
