geometry,amenity,name,addr:housenumber,addr:postcode,addr:street,source,source_ref,postal_code,addr:city,addr:suburb,ele,operator,name:pt,phone,building,alt_name,operator:type,owner,ownership,short_name,website,wikipedia,internet_access,name:en,wikidata,building:levels,contact:facebook,network,training,type,tipo_escola,geometry_std
POINT (-50.1223438 -25.0962153),school,Escola Municipal João Maria Cruz,259,,Rua João Thomé,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1223438 -25.0962153)
POINT (-50.1543213 -25.1050678),college,Colégio Estadual José Elias da Rocha,,,Rua Ricardo Wagner,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,84035-220,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1543213 -25.1050678)
POINT (-50.1855094 -25.0648607),school,Escola Municipal Professora Zair Santos Nascimento,600,84071-220,Rua Professor Fábio Fanucchi,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1855094 -25.0648607)
POINT (-50.1094774 -25.1049439),school,Escola Municipal Dércia do Carmo Noviski,183,84032-320,Rua Miguel Droppa,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1094774 -25.1049439)
POINT (-50.1833464 -25.0739228),school,Escola Municipal Ivon Zardo,1071,,Rua Coronel José Miró,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,Ponta Grossa,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1833464 -25.0739228)
POINT (-50.1942278 -25.0969356),school,Escola Municipal Professora Haydêe Ferreira de Oli,350,84052-440,Rua Manoel Ferreira Martins,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1942278 -25.0969356)
POINT (-50.1760583 -25.0733257),school,Escola Municipal Professor Rubens Edgard Furstenbe,1312,84070-220,Rua Alberto de Oliveira,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1760583 -25.0733257)
POINT (-50.2055614 -25.1174836),school,Escola Estadual José Gomes do Amaral,,,Rua Papoula,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,84060-060,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.2055614 -25.1174836)
POINT (-50.1305403 -25.0786682),school,Escola Municipal Geny de Jesus Souza Ribas,100,84020-380,Rua Washington Luiz,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1305403 -25.0786682)
POINT (-50.1615784 -25.057974),school,Escola Municipal Prefeito Doutor Amadeu Puppi,337,84001-970,Rua Engenheiro Virgínio Milanese,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1615784 -25.057974)
POINT (-50.2068025 -25.0852651),school,Escola Municipal Frederico Constante Degraf,600,84062-170,Avenida Paul Harris,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.2068025 -25.0852651)
POINT (-50.1807223 -25.0934765),school,Escola Municipal Prefeito Doutor Othon Mader,950,84053-320,Rua Londrina,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1807223 -25.0934765)
POINT (-50.15628 -25.1342485),school,Escola Estadual Espírito Santo,288,84045-340,Rua Jorge Holzmann,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.15628 -25.1342485)
POINT (-50.13958 -25.0584525),school,Escola Municipal Professora Braulina Carneiro de Q,100,84016-590,Rua Paulo Kloth,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.13958 -25.0584525)
POINT (-50.166843 -25.145997),school,Escola Municipal Professora Armida Frare Grácia,160,84046-130,Rua Inambú,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.166843 -25.145997)
POINT (-50.2443751 -25.0407165),school,Escola Municipal Professora Zeneida de Freitas Sch,73,84001-970,Rua Rio Danúbio,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.2443751 -25.0407165)
POINT (-50.118935 -25.0991006),school,Escola Municipal Deodoro Alves Quintiliano,318,84031-120,Rua Nicolau Florenzano,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.118935 -25.0991006)
